XPATH;ORIGINALTXT;TRANSLATEDTXT
"//catalog/category[attribute::category-id=""tondeuse-barbe""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Plutôt barbe de trois jours ou bien fournie ? <br/>
Gardez le style avec les tondeuses à barbe BaByliss For Men de qualité professionnelle.<br/>
 Utilisation sans fil et précision de l'ajustement : sculptez votre barbe en un seul geste.";"¿Prefieres una barba de tres días o una bien poblada? <br/>
Mantén el estilo con los barberos BaByliss For Men de calidad profesional.<br/>
 Uso sin cable y precisión de ajuste: da forma a tu barba en un solo movimiento."
"//catalog/category[attribute::category-id=""tondeuse-barbe""]/description[attribute::xml:lang=""fr-FR""]";C'est presque le barbier qui vient à vous;Es casi como tener la barbería en casa
"//catalog/category[attribute::category-id=""tondeuse-barbe""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses barbe;Barberos
"//catalog/category[attribute::category-id=""tondeuse-barbe""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses barbe : tondeuse barbe professionnelle avec fonction rasage sans fil  - Taille et précision facile pour varier le style de barbe !;Descubre nuestros barberos: barbero profesional con función afeitado sin cable - ¡Corte y precisión fáciles para variar tu estilo de barba!
"//catalog/category[attribute::category-id=""tondeuse-barbe""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse barbe : découvrez notre gamme - BaByliss For Men;Barbero: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""tondeuse-cheveux""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Conserver une allure soignée et une coupe nette au quotidien, <br/>c'est facile avec une tondeuse cheveux BaByliss For Men !<br/> Finis les rendez-vous chez le coiffeur : obtenez chez vous<br/> un résultat pro en toute simplicité grâce à notre gamme<br/> de tondeuses cheveux BaByliss For Men.;Conserva un aspecto arreglado y un corte definido a diario, <br/>¡es fácil con un cortapelos para cabello de BaByliss For Men !<br/> Acaba con las citas en la peluquería: logra en casa<br/> un resultado profesional con total facilidad gracias a nuestra gama<br/> de cortapelos para cabello de BaByliss For Men.
"//catalog/category[attribute::category-id=""tondeuse-cheveux""]/description[attribute::xml:lang=""fr-FR""]";Une coupe de pro sans bouger de chez vous;Un corte profesional sin salir de casa
"//catalog/category[attribute::category-id=""tondeuse-cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses cheveux;Cortapelos para pelar en casa
"//catalog/category[attribute::category-id=""tondeuse-cheveux""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses cheveux : tondeuse cheveux pro, tondeuse cheveux précision à plusieurs sabots - Ergonomie et précision pour une coupe nette !;Descubre nuestros cortapelos para cabello: cortapelos para cabello profesional, cortapelos para cabeza de precisión con múltiples cabezales - ¡Ergonomía y precisión para un corte bien definido!
"//catalog/category[attribute::category-id=""tondeuse-cheveux""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse cheveux : découvrez notre gamme - BaByliss For Men;Cortapelos para cabello: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""tondeuse-le-designer""]/display-name[attribute::xml:lang=""fr-FR""]";Le Designer;Le Designer
"//catalog/category[attribute::category-id=""tondeuse-multifonction""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"L'entretien de toutes les zones du corps en un seul geste !<br />
Grâce à la tondeuse multi-fonction, optez pour la polyvalence et<br /> la performance professionnelle.";"¡Para cuidar todas las zonas del cuerpo con un solo movimiento!<br />
Gracias al cortapelos multifunción, elige la polivalencia y<br /> el rendimiento profesional."
"//catalog/category[attribute::category-id=""tondeuse-multifonction""]/description[attribute::xml:lang=""fr-FR""]";Un résultat adapté à chaque zone du corps;Un resultado adaptado a todas las zonas del cuerpo
"//catalog/category[attribute::category-id=""tondeuse-multifonction""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses multi-usages;Cortapelos multiusos
"//catalog/category[attribute::category-id=""tondeuse-multifonction""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses multi-fonctions : tondeuse cheveux et barbe, tondeuse corps homme, tondeuse multifonction pro - Tout le soin de l'homme en 1 appareil !;Descubre nuestros cortapelos multiusos: cortapelos para cabello y barba, cortapelos para cuerpo hombre, cortapelos multifunción profesional. ¡Todo el cuidado para el hombre en un solo aparato!
"//catalog/category[attribute::category-id=""tondeuse-multifonction""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse multi-usage : découvrez notre gamme - BaByliss For Men;Cortapelos multiuso: descubre nuestra gama - BaByliss For Men
"//catalog/category[attribute::category-id=""tondeuse-nez-oreille""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Dites adieu aux poils indésirables! <br/>En un seul geste et sans douleur, nos tondeuses Nez-Oreilles vous en débarrassent. <br/>Précision et simplicité pour une allure irréprochable!;¡Di adiós al vello no deseado! <br/>Con un solo movimiento y sin dolor, elimínalo con nuestros nariceros-orejeros. <br/>¡Precisión y simplicidad para un aspecto impecable!
"//catalog/category[attribute::category-id=""tondeuse-nez-oreille""]/description[attribute::xml:lang=""fr-FR""]";Avec elles, rien ne dépasse;Con ellos, nada se escapa
"//catalog/category[attribute::category-id=""tondeuse-nez-oreille""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses Nez – Oreilles;Nariceros-orejeros
"//catalog/category[attribute::category-id=""tondeuse-nez-oreille""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses nez oreilles : coupe poils nez, rasoir nez, tondeuse oreille, tondeuse nez - Finis les poils indésirables du nez et des oreilles !;Descubre nuestros nariceros-orejeros: cortapelos nariz, afeitadora para nariz, orejero, naricero - ¡El fin del vello no deseado en la nariz y las orejas!
"//catalog/category[attribute::category-id=""tondeuse-nez-oreille""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse nez oreille : découvrez notre gamme - BaByliss For Men;Nariceros-orejeros: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""trousse-de-toilette""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Tous vos accessoires beauté (pinceau, nécessaire à manucure, fard à paupière etc) <br/>sont ordonnés avec nos collections tendance de trois trousses de toilette pour une routine<br/> beauté sans stress. Mini, moyenne ou vanity, elles se glissent dans votre sac ou valise et vous <br/>accompagnent partout.;Todos tus accesorios de belleza (brochas, kit de manicura, sombras de ojos, etc.) <br/>se organizan con nuestras colecciones de tres neceseres a la moda para una rutina de<br/> belleza sin estrés. Mini, mediano o vanity, caben en tu bolso o maleta y te <br/>acompañan a todas partes.
"//catalog/category[attribute::category-id=""trousse-de-toilette""]/display-name[attribute::xml:lang=""fr-FR""]";Trousses de toilette;Neceseres
"//catalog/category[attribute::category-id=""trousse-de-toilette""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez la collection trousse de toilette : trousse de toilette femme, trousse de toilette voyage, grande trousse de toillette - Pratiques et tendances !;Descubre la colección de neceseres: neceser para mujer, neceser de viaje, neceser grande - ¡Prácticos y modernos!
"//catalog/category[attribute::category-id=""trousse-de-toilette""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Trousse de toilette : découvrez notre gamme - BaByliss Paris;Neceser: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""trousse-de-toilette-homme""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Une allure impeccable, même en vacances ou en déplacement. BaByliss For Men offre aux hommes nomades une collection de trousses de toilette pratiques et élégantes.;Un aspecto impecable, incluso de vacaciones o de viaje. BaByliss Men ofrece a los hombres más nómadas una colección de neceseres prácticos y elegantes.
"//catalog/category[attribute::category-id=""trousse-de-toilette-homme""]/display-name[attribute::xml:lang=""fr-FR""]";Trousses de toilette;Neceseres
"//catalog/category[attribute::category-id=""trousse-de-toilette-homme""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez notre collection de trousses de toilette homme : trousse de toilette voyage, trousse de toilette pratique -  L'indispensable de l'homme nomade;Descubre nuestra colección de neceseres para hombre: neceser de viaje, neceser práctico - Lo indispensable para el hombre nómada
"//catalog/category[attribute::category-id=""trousse-de-toilette-homme""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Trousse de toilette : toute la collection - BaByliss For Men;Neceser: toda la colección - BaByliss Men
"//catalog/category[attribute::category-id=""trousses-de-toilette""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Une allure impeccable, même en vacance ou en déplacement.<br/> BaByliss For Men offre aux hommes nomades une collection de trousses <br/>de toilette pratiques et élégantes.;Un aspecto impecable, incluso de vacaciones o de viaje.<br/> BaByliss Men ofrece a los hombres una colección de neceseres <br/>prácticos y elegantes.
"//catalog/category[attribute::category-id=""trousses-de-toilette""]/display-name[attribute::xml:lang=""fr-FR""]";Toutes nos trousses;Todos nuestros neceseres
"//catalog/category[attribute::category-id=""trousses-de-toilette""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez notre collection de trousses de toilette homme : trousse de toilette voyage, trousse de toilette pratique -  L'indispensable de l'homme nomade;Descubre nuestra colección de neceseres para hombre: neceser de viaje, neceser práctico - Lo indispensable para el hombre nómada
"//catalog/category[attribute::category-id=""trousses-de-toilette""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Trousse de toilette : toute la collection - BaByliss For Men;Neceser: toda la colección - BaByliss Men
