XPATH;ORIGINALTXT;TRANSLATEDTXT
"//catalog/category[attribute::category-id=""brosse-soufflante""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos brosses soufflantes : brosse soufflante lissante ou brosse soufflante rotative - Brushing facile pour un cheveu soyeux !;Descubre nuestros cepillos moldeadores: cepillo moldeador alisador o cepillo moldeador giratorio - ¡Cepillado fácil para un pelo sedoso!
"//catalog/category[attribute::category-id=""brosse-soufflante""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Brosse soufflante : Découvrez notre gamme - BaByliss Paris;Cepillo moldeador: Descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Cheveux;Pelo
"//catalog/category[attribute::category-id=""coffret-homme""]/display-name[attribute::xml:lang=""fr-FR""]";Coffret;Estuche
"//catalog/category[attribute::category-id=""corps""]/display-name[attribute::xml:lang=""fr-FR""]";Corps;Cuerpo
"//catalog/category[attribute::category-id=""curl-secret""]/display-name[attribute::xml:lang=""fr-FR""]";Curl Secret;Curl Secret
"//catalog/category[attribute::category-id=""curl-secret""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";L'iconique Curl Secret : le boucleur automatique ionique révolutionnaire ! Avec sa facilité d'utilisation, obtenez des boucles rapidement et sans effort !;El icónico Curl Secret: ¡el revolucionario rizador 100% automático e iónico! Con su facilidad de uso, ¡consigue unos rizos rápidamente y sin esfuerzo!
"//catalog/category[attribute::category-id=""curl-secret""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Curl Secret : LE boucleur automatique - BaByliss Paris;Curl Secret: El  rizador automático  - BaByliss Paris
"//catalog/category[attribute::category-id=""editionslimitees""]/display-name[attribute::xml:lang=""fr-FR""]";Nos éditions limitées;Nuestras ediciones limitadas
"//catalog/category[attribute::category-id=""entretien-barbe""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Faites plaisir à votre moitié et arborez une barbe douce !<br/>
Découvrez notre gamme soin de la barbe : brosse à barbe… <br/>
Obtenez un poil soyeux, brillant et résistant en un tour de main comme au sortir du barbier !";"¡Complace a tu pareja y luce una barba suave!<br/>
Descubre nuestra gama para el cuidado de la barba: cepillo para barba… <br/>
¡Consigue en un momento un vello sedoso, brillante y resistente, como recién salido de la barbería!"
"//catalog/category[attribute::category-id=""entretien-barbe""]/description[attribute::xml:lang=""fr-FR""]";Obtenez un poil soyeux, brillant et résistant en un tour de main !;¡Consigue en un momento un vello sedoso, brillante y resistente!
"//catalog/category[attribute::category-id=""entretien-barbe""]/display-name[attribute::xml:lang=""fr-FR""]";Soin de la barbe;Cuidado de la barba
"//catalog/category[attribute::category-id=""entretien-barbe""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez notre gamme soins barbe : brosse barbe, peigne barbe - Une gamme soin pro pour entretenir et adoucir sa barbe !;Descubre nuestra gama para el cuidado de la barba: cepillo para barba, peine para barba - ¡Una gama de cuidado profesional para cuidar y suavizar la barba!
"//catalog/category[attribute::category-id=""entretien-barbe""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Soin de la barbe : découvrez notre gamme - BaByliss For Men;Cuidado de la barba: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""epilateur-electrique""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Dites adieu aux poils, même les plus courts avec l'épilateur électrique BaByliss Paris !<br/> Ergonomique, confortable et efficace, l'épilation devient un plaisir. <br/>Gagnez du temps grâce à nos épilateurs électriques qui vous permettent d'obtenir un résultat <br/>net en un temps record!;¡Di adiós al vello, incluso al más corto, con la depiladora eléctrica BaByliss Paris!<br/> Ergonómica, cómoda y eficaz: la depilación se convertirá en un placer. <br/>¡Ahorra tiempo con nuestras depiladoras eléctricas, que te permitirán lograr un resultado <br/>preciso en un tiempo récord!
"//catalog/category[attribute::category-id=""epilateur-electrique""]/description[attribute::xml:lang=""fr-FR""]";Une épilation au poil et sans douleur;Una depilación perfecta y sin dolor
"//catalog/category[attribute::category-id=""epilateur-electrique""]/display-name[attribute::xml:lang=""fr-FR""]";Épilateurs et rasoirs électriques;Depiladoras y afeitadoras eléctricas
"//catalog/category[attribute::category-id=""epilateur-electrique""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos épilateurs électriques : épilation corps, épilation maillot, épilation sans douleur pour des jambes lisses et douces plus vite et plus longtemps !;Descubre nuestras depiladoras eléctricas: depilación del cuerpo, depilación de la línea del bikini, ¡depilación sin dolor para unas piernas lisas y suaves más rápido y durante más tiempo!
"//catalog/category[attribute::category-id=""epilateur-electrique""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Epilateur électrique : découvrez notre gamme - BaByliss Paris;Depilación eléctrica: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""epilateur-lumiere-pulsee""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Marre de passer des heures dans la salle de bain ? <br/>Découvrez l'épilation à lumière pulsée, une méthode d'épilation durable et indolore. <br/>Pour des jambes lisses et douces plus longtemps, BaByliss Paris vous propose un large<br/> choix d'épilateurs à lumière pulsée.;¿Cansada de pasar horas en el cuarto de baño? <br/>Descubre la depilación de luz pulsada, un método de depilación duradero e indoloro. <br/>Para conseguir unas piernas lisas y suaves durante más tiempo, BaByliss Paris te propone una amplia<br/> gama de depiladoras de luz pulsada.
"//catalog/category[attribute::category-id=""epilateur-lumiere-pulsee""]/display-name[attribute::xml:lang=""fr-FR""]";Epilation à lumière pulsée;Depilación con luz pulsada
"//catalog/category[attribute::category-id=""epilateur-lumiere-pulsee""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos épilateurs lumière pulsée : épilation corps et zones sensible, sans fil, skin sensor pour une épilation 0 douleur, durable et ultra-rapide !;Descubre nuestras depiladoras con luz pulsada: depilación del cuerpo y de las zonas sensibles, sin cable, skin sensor para una depilación sin dolor, ¡duradera y ultrarrápida!
"//catalog/category[attribute::category-id=""epilateur-lumiere-pulsee""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Epilateur à lumière pulsée : toute la gamme - BaByliss Paris;Depiladora con luz pulsada: toda la gama - BaByliss Paris
"//catalog/category[attribute::category-id=""epilation""]/display-name[attribute::xml:lang=""fr-FR""]";Epilation;Depilación
